FID,TPI,TWI,Pente,CircVarAsp,Zone
"1",0.0960,3.6950,12.3998,0.076,"1"
"2",0.0000,4.2474,18.2263,0.444,"1"
"3",0.0000,10.0892,18.8768,0.381,"1"
"4",0.2802,4.9008,17.3852,0.059,"1"
"5",0.0000,7.0998,28.4886,0.045,"1"
"6",0.3243,4.7840,16.2099,0.010,"1"
"7",0.0000,7.6126,7.1981,0.004,"1"
"8",0.3690,5.7188,5.9339,0.128,"1"
"9",0.0000,5.4480,18.4133,0.370,"1"
"10",0.0000,8.0181,5.9987,0.007,"1"
"11",0.0000,7.4919,1.7216,0.500,"1"
"12",0.1270,6.0269,2.9950,0.012,"1"
"13",0.0000,6.8965,14.7344,0.019,"1"
"14",0.0000,7.1030,11.7895,0.006,"1"
"15",0.0000,6.6558,2.2347,0.089,"1"
"16",0.0000,7.7376,6.2536,0.003,"1"
"17",0.0952,8.0504,0.2110,0.124,"1"
"18",0.1304,6.2005,2.1206,0.065,"1"
"19",0.0000,10.3066,5.7116,0.095,"1"
"20",0.0000,5.9657,1.6290,0.110,"1"
"21",0.0000,9.5266,3.0432,0.068,"1"
"22",0.0000,6.3653,2.2582,0.175,"1"
"23",0.0000,6.7457,1.6149,0.467,"1"
"24",0.0000,7.1432,0.3938,0.044,"1"
"25",0.1224,6.8208,6.6330,0.002,"1"
"26",0.2297,6.5145,0.9917,0.074,"1"
"27",0.0000,7.6546,0.2318,0.041,"1"
"28",0.6390,7.0011,1.5881,0.059,"1"
"29",0.0000,5.4080,12.9687,0.047,"1"
"30",0.0000,8.0474,4.2991,0.002,"1"
"31",0.0743,5.7626,3.2659,0.048,"1"
"32",0.0808,7.9779,7.3173,0.002,"1"
"33",0.0000,6.7899,0.3424,0.171,"1"
"34",0.0000,9.2708,1.9563,0.052,"1"
"35",0.0000,9.2418,2.5494,0.021,"1"
"36",0.0212,8.5427,2.0275,0.018,"1"
"37",0.0000,4.7527,9.9052,0.124,"1"
"38",0.1959,9.4215,0.8014,0.127,"1"
"39",0.0000,10.0472,2.2893,0.032,"1"
"40",0.0671,5.5965,1.0630,0.126,"1"
"41",0.0129,5.4772,11.9004,0.040,"1"
"42",0.0000,7.6759,3.5246,0.053,"1"
"43",0.8536,6.0776,0.7950,0.803,"1"
"44",0.1742,7.1627,2.1909,0.151,"1"
"45",0.2293,6.9340,2.0750,0.161,"1"
"46",0.0357,5.7351,3.7122,0.075,"1"
"47",0.0000,5.3295,2.2150,0.870,"1"
"48",0.0000,6.4866,3.6863,0.017,"1"
"49",0.3582,5.4838,5.1894,0.566,"1"
"50",0.0000,10.4183,2.7175,0.002,"1"
"51",0.5808,5.3124,4.1941,0.417,"1"
