in_zone,out_zone
0.1676,0.1953
0.0767,0.6592
0.2307,0.8141
0.147,0.3593
0.2893,0.1076
0.2905,0.8879
0.2377,0.0168
0.1879,0.0276
0.3724,0.303
0.2382,0.2559
0.557,0.1961
0.2364,0.1647
0.4278,0.2527
0.022,0.1094
0.5227,0.2507
0.0235,0.8493
0.0618,0.3002
0.4067,0.0497
0.0395,0.0334
0.1469,0.186
0.0707,0.0455
0.3815,0.9406
0.1539,0.9785
0.1232,0.3447
0.0839,0.038
0.2799,0.5219
0.2346,0.1467
0.1621,0.0469
0.0506,0.0506
0.0849,0.0311
0.1109,0.6662
0.0206,0.0239
0.0316,0.367
0.0565,0.0812
0.0415,0.6211
0.1319,0.0667
0.1707,0.0548
0.0643,0.1427
0.1497,0.8811
0.2416,0.1207
0.2221,0.0068
0.6266,0.0655
0.6005,0.9183
0.6383,0.1968
0.0439,0.0262
0.1815,0.2041
0.0311,0.0371
0.0196,0.0925
0.0956,0.1293
0.1032,0.0292
0.074,0.0076
0.2109,0.4016
0.1067,0.0697
0.2013,0.0298
0.0609,0.6707
0.0147,0.4799
0.1854,0.013
0.2522,0.022
0.2222,0.4585
0.1737,0.0442
0.0666,0.5474
0.1885,0.0265
0.1688,0.0657
0.1698,0.0075
0.2021,0.0703
0.1227,0.6257
0.2019,0.0082
0.1477,0.3714
0.149,0.0061
0.3292,0.0401
0.2238,0.3033
0.3099,0.5469
0.1196,0.3999
0.0145,0.5287
0.1227,0.1354
0.1395,0.0074
0.5132,0.0727
0.6224,0.6288
0.0646,0.0403
0.1585,0.1693
0.6894,0.4486
0.1415,0.0271
0.0108,0.0095
0.2342,0.0267
0.0702,0.0345
0.0098,0.069
0.6608,0.182
0.4726,0.0131
0.0435,0.6247
0.1129,0.0371
0.1048,0.6202
0.2498,0.5891
0.0545,0.3741
0.4257,0.1398
0.2264,0.8593
0.0952,0.0097
0.0376,0.0929
0.1403,0.2465
0.2989,0.1692
0.2102,0.0221
0.1501,0.7787
0.168,0.2514
0.1638,0.801
0.078,0.068
0.0837,0.148
0.0362,0.2564
0.1262,0.0566
0.1217,0.0086
0.0678,0.0556
0.062,0.3821
0.1676,0.3657
0.0075,0.0713
0.0374,0.1366
0.3532,0.0556
0.09,0.4962
0.0897,0.1373
0.0314,0.1923
0.1829,0.0202
0.082,0.0394
0.0842,0.0155
0.0721,0.2406
0.0536,0.0373
0.0884,0.4192
0.1212,0.4589
0.1454,0.0672
0.0513,0.4978
0.1448,0.0934
0.1626,0.0038
0.1025,0.1417
0.0828,0.2131
0.0587,0.8151
0.0963,0.0423
0.2188,0.0438
0.0602,0.0013
0.0218,0.2453
0.2503,0.4366
0.1531,0.1547
