in_zone,out_zone
2.0774,0.0466
2.4685,0.0875
1.2121,0.091
1.967,1.2735
1.4459,0.0123
3.8698,0.249
3.7164,0.8875
5.3587,1.782
1.2575,0.6065
1.3446,2.1096
3.4419,18.7181
2.5708,0.0776
0.9198,6.6692
2.2004,12.7317
3.4813,0.0605
2.103,6.1773
2.1818,0.1427
5.1462,8.8831
6.6093,2.6769
4.2547,0.0905
3.305,0.0654
2.0289,4.3254
1.6351,3.3645
4.3524,0.2955
2.3116,8.5442
0.8056,9.1849
2.5185,0.0869
2.5233,6.3828
1.0744,2.8537
6.9931,2.0425
1.8845,0.6261
3.7558,10.0312
2.3369,1.205
4.674,0.1943
4.3713,5.6949
15.8532,23.1244
21.1958,1.2456
1.9772,0.4968
1.1173,1.9267
1.8653,2.7008
0.5973,14.2888
6.3249,6.0888
2.3625,9.5431
4.2989,7.5631
4.8715,2.5486
7.8341,0.1468
2.0736,1.4375
11.3702,16.1001
11.523,5.4496
2.9883,2.1704
2.8952,1.0075
5.9075,5.957
9.4754,8.022
5.129,1.238
0.8636,0.0495
0.6387,0.0902
1.1027,0.217
1.0182,0.0481
2.6812,0.2093
10.2473,0.0869
5.1752,0.0898
1.5872,8.6556
1.4155,0.7137
0.871,9.0191
7.417,0.0272
1.5553,2.3229
1.367,0.9934
5.5055,3.3199
1.4112,0.5729
0.7744,2.0179
1.1871,6.4617
6.6257,12.7645
2.0954,0.1138
1.9364,25.7657
2.9887,1.2531
7.7173,12.9577
0.798,0.419
4.4293,2.2643
0.9195,1.6439
1.3913,7.3752
3.0719,18.7324
1.011,0.0019
3.1027,4.7934
2.1545,14.0642
2.0009,1.1454
0.2806,0.0869
3.3104,0.0869
5.2475,5.3267
2.496,0.1225
3.4584,7.8509
4.081,10.3724
5.4696,0.7223
2.0073,1.0217
16.6918,12.6857
1.8668,10.3576
3.4269,0.1821
1.0612,1.5212
3.3964,6.321
0.6929,7.6947
0.7094,10.7458
2.9011,20.2167
5.6992,0.2787
4.4257,0.2547
2.8794,10.4522
3.5403,7.0311
0.3561,2.2474
5.9637,2.3854
4.6805,2.7538
2.8223,0.2189
1.2926,8.468
1.3433,9.8071
0.8183,6.5502
2.3793,5.094
3.8308,0.949
9.0855,3.9888
2.016,4.7182
0.5687,0.072
3.4642,0.0665
0.8844,21.8343
1.0061,4.059
1.5287,1.4976
5.1891,0.1634
2.8821,1.8671
4.9763,1.582
2.9098,0.9472
7.367,4.7852
10.8989,0.0344
10.7015,2.003
0.8648,0.4333
2.468,10.5345
1.2159,0.1426
6.4753,2.2075
2.298,2.0883
1.4472,0.7702
1.1477,3.98
1.7136,4.2512
0.9,6.0507
3.4611,2.6897
7.2986,3.9051
5.2008,0.8389
2.2316,37.4241
3.61,6.4735
1.4421,2.6597
5.0287,17.306
1.8881,11.4122
11.1847,11.8522
4.501,0.0648
0.8132,5.9212
3.5464,0.8702
0.9275,0.0674
11.9347,5.0002
4.289,0.0657
3.6147,2.8241
2.5386,0.0944
0.9148,16.2249
2.0056,7.1727
6.9517,3.4306
1.3061,2.7975
2.8804,4.0532
1.4814,5.2826
1.4534,4.4514
1.5294,1.2419
0.9469,2.9309
2.5605,3.8634
3.2012,0.0914
2.2886,17.1579
1.9293,1.6869
0.0372,6.5601
0.8379,0.473
1.7991,15.8449
1.001,1.2164
2.1751,3.1209
0.8958,1.5269
1.42,0.336
9.2124,5.4564
2.5512,1.7473
3.4679,14.5886
3.1876,2.3842
2.9866,9.13
2.904,2.4476
2.1438,7.1427
1.107,0.723
1.5302,1.4053
1.9454,5.6827
1.7875,1.1213
5.9868,3.2715
6.6033,0.2398
3.9843,9.0833
7.8684,0.5151
0.7113,2.5561
0.8982,2.0414
1.0448,1.8116
1.7344,6.5533
1.5662,2.6502
1.0707,2.3995
3.8323,3.2282
2.4347,4.3732
5.7141,0.9431
2.5872,12.6286
6.5448,2.2299
2.664,2.6014
1.608,1.5716
3.3285,0.7988
5.8425,0.0815
2.4404,1.1633
2.1244,0.066
0.7568,8.8724
4.3055,22.5165
5.5651,21.9658
2.8693,4.0828
3.1076,4.4213
6.3765,4.8913
1.9296,14.7289
4.0114,0.0654
2.2453,14.9816
2.9572,13.1906
1.8372,13.9484
0.9502,7.604
1.2329,7.9148
3.0936,5.2355
1.108,2.1089
3.0096,6.418
2.3624,20.2559
0.3844,21.3365
3.6402,1.8887
2.862,7.6712
1.6252,7.7082
1.8963,4.5202
1.2801,14.9374
2.88,4.1436
3.289,0.1368
2.305,10.195
1.0414,0.3781
0.6445,2.2177
1.4649,7.7304
5.8207,1.1862
2.0806,2.7664
3.9268,2.2992
2.959,4.8301
2.703,5.9101
4.517,3.0109
2.3498,3.3042
1.9074,5.5958
0.7422,0.4062
0.4355,7.3654
2.5173,4.8958
4.3181,7.3393
2.9218,7.8524
2.1327,3.0397
3.854,3.0503
0.4551,2.2779
2.1751,4.7743
2.6336,0.5937
0.7192,20.275
2.0149,1.1909
16.4395,3.0312
11.077,16.7102
0.8763,11.6773
1.7778,24.0851
1.3137,7.3927
0.7239,0.499
4.5148,6.3032
0.6806,7.002
3.9418,5.6168
3.134,10.8896
1.7129,0.1626
1.5747,1.8509
2.541,3.2532
0.82,1.1001
2.653,18.3019
5.553,2.5088
0.2304,5.1666
0.5343,9.1626
0.3234,0.3681
1.0344,2.2511
1.1051,2.2765
1.5701,0.1806
4.5933,5.1618
2.2343,2.2315
1.7958,14.0597
3.6937,13.1642
3.9187,11.6764
4.0585,12.9482
3.4761,0.0993
1.9084,1.7777
0.5912,1.423
1.7715,2.5149
3.3839,0.2587
1.8346,4.0532
0.8383,5.0665
3.2601,3.7202
4.0663,2.7112
2.2317,0.6464
5.6392,11.1081
2.0071,18.4246
1.138,0.2131
4.7399,0.3253
0.648,5.0972
0.6721,1.3612
7.53,0.2387
2.9149,9.1485
1.4748,8.6952
6.243,1.6616
0.8968,1.3142
3.4081,11.5338
2.8926,20.1798
2.3916,7.3964
8.9168,0.7154
2.3486,1.8711
4.9474,10.3606
1.1833,11.2365
0.9044,1.4236
2.722,1.2213
1.6664,4.7032
0.806,6.2282
6.828,1.9018
8.6167,1.6322
0.804,1.4613
4.2233,32.0515
0.3691,0.0884
4.8805,3.2115
4.2151,3.6769
1.9424,0.8192
4.6127,3.0586
3.9484,13.1543
6.4109,24.2274
3.2698,4.5253
4.0277,12.658
3.7321,2.6827
3.829,2.5163
4.1122,0.5898
1.2847,17.6459
4.0628,15.6019
5.5266,0.3353
1.2259,25.8022
2.3059,2.8545
3.2525,4.2321
18.0605,1.8043
1.664,15.0519
3.9038,0.0964
2.8909,0.1143
1.0013,0.7526
3.873,21.2473
3.7289,0.6226
2.0537,5.3344
9.0267,2.0599
2.6856,13.7391
3.9563,1.5295
3.0893,9.4425
3.8626,1.9857
2.0264,0.6604
2.7375,5.1117
2.2783,20.7589
0.7794,4.1362
2.01,0.7115
1.0023,2.1623
2.0327,1.0034
1.0133,2.0579
2.1634,1.2669
0.8608,5.2111
8.5483,21.1018
3.6912,8.9782
0.9232,0.0648
4.8106,7.3942
2.229,13.1934
0.7978,1.0605
3.5784,2.0569
2.2111,3.6256
3.9809,1.7307
0.499,2.3923
20.7456,9.5452
1.0098,0.8168
1.2,9.7561
3.4244,10.024
1.9489,1.4188
1.1306,2.495
3.0215,2.6899
1.3265,3.4946
7.4319,1.9327
0.654,1.2825
1.1428,3.5427
3.5171,0.2746
1.1711,2.4745
7.5879,2.5651
1.4244,26.2592
4.9744,2.0522
8.2859,8.8797
6.6823,1.3771
1.8666,2.5589
2.0828,15.3556
2.1546,2.1995
1.5042,8.179
2.1869,1.7391
9.6403,1.5923
0.5548,9.5839
2.0441,3.5042
14.1132,0.7934
2.0931,8.3503
1.8357,9.0878
1.9821,5.5016
0.9269,3.9078
1.7056,19.6393
0.6332,2.5352
2.5331,1.6633
2.0534,6.0004
2.5448,4.836
1.6163,2.2089
3.8505,2.7056
5.7558,1.915
8.7816,11.524
0.5766,7.3292
0.47,6.1993
7.6144,5.8283
7.6117,0.3701
1.8999,17.6166
0.6677,15.7521
1.0932,0.8954
3.0192,1.2658
2.2488,4.5842
2.8024,9.1976
1.9723,4.6164
2.726,7.1873
2.6455,2.6294
2.5144,6.7128
1.6132,2.4034
0.963,1.2385
0.8727,2.3494
5.1266,12.1721
4.2852,6.2931
0.4546,2.3993
1.0478,2.4868
3.0102,0.3667
5.1578,7.2231
0.744,10.7427
4.7983,2.6122
0.9314,7.7157
1.0496,2.0065
0.4152,0.8343
4.3779,3.4701
2.3075,13.4926
6.5741,16.5822
1.1203,0.3614
1.0041,1.7265
0.4319,2.9546
1.2918,2.8245
0.4538,5.704
0.1609,4.7709
3.6845,4.5696
4.3313,0.3727
0.3418,2.4508
2.6298,11.787
7.1508,1.8573
12.0046,2.2279
0.8145,2.5558
14.5891,0.3435
10.3221,0.5119
0.2986,2.5534
1.2193,4.0175
3.3227,2.0126
3.1879,8.9563
0.1172,2.0797
0.7355,5.5199
1.27,3.6047
2.4998,1.9611
0.6546,4.9259
1.4739,21.5875
0.1286,13.1769
6.2536,4.6055
0.7055,2.5723
1.637,3.9671
1.8789,1.2716
2.8157,0.8373
2.4971,2.0637
6.0304,9.4468
1.0923,0.6531
4.1325,8.1048
1.3784,2.5247
1.7554,3.7849
