in_zone,out_zone
6.3224,2.841
6.7956,17.2708
8.8625,8.476
2.7933,17.16
1.9565,3.0458
5.3868,6.92
3.7411,7.4111
0.2768,0.7247
2.0375,1.2673
5.63,18.571
5.3948,1.869
2.3259,1.1142
9.4555,8.8038
5.355,2.0104
4.5841,11.014
2.6536,2.4433
0.2009,5.0264
2.0232,3.2934
0.7174,9.4438
3.2366,9.2909
1.6998,16.6423
2.454,11.7118
5.6244,8.9008
1.7455,5.3995
2.261,6.9937
1.9728,10.339
2.158,7.6957
0.4246,4.1049
1.3082,5.4079
0.7793,6.3142
1.6477,4.9365
13.8327,3.8024
0.4819,0.3563
2.2719,1.7559
2.0087,1.9875
0.5331,7.2938
6.5592,4.0894
0.228,9.9937
1.1669,3.2925
4.1667,8.3247
2.6222,7.6649
2.6331,6.6343
0.9022,13.9799
3.3626,14.1883
2.2716,3.4157
5.2419,24.237
4.0399,10.3429
2.5458,1.7748
2.114,2.1954
1.0266,6.5011
1.0208,7.1805
4.5641,4.106
13.191,10.8876
0.4666,12.657
0.1103,7.6609
0.9427,10.2546
1.4863,3.7939
1.5278,15.8689
19.7166,4.5537
6.8794,4.2035
0.6608,4.0146
9.9769,12.6175
0.7779,7.9584
0.2513,11.0983
1.7977,3.6381
0.4931,4.1108
0.9565,2.4567
9.738,8.9526
1.5206,4.0049
4.9689,3.3798
2.8093,10.8437
1.1575,2.6737
0.4454,3.4547
3.2064,4.1571
1.6944,8.208
3.662,8.2974
3.2874,10.5114
2.8569,4.9365
3.3136,6.2866
2.5252,12.1
21.512,5.3757
8.4327,2.9703
6.492,1.674
0.776,2.7969
3.5003,4.2677
2.671,15.6192
3.0189,13.4456
1.1174,11.9361
9.465,12.3063
0.7512,2.9298
1.8278,14.4939
5.075,6.3706
1.8968,5.1435
6.0097,3.1551
1.6859,8.415
2.425,5.3603
1.7624,7.1646
4.5491,4.4398
2.2242,3.4755
3.0987,9.8088
8.2045,3.3491
2.2713,18.84
3.4052,0.7055
1.6721,12.5277
3.2084,12.1589
2.2183,7.903
2.16,9.8798
1.8822,23.3144
1.8876,5.8368
7.5116,13.6848
2.8813,5.1009
4.3314,8.9845
2.7199,5.5557
0.6994,4.5858
9.28,2.803
1.4551,5.3442
2.2002,12.072
1.316,6.7527
3.8468,2.7469
3.8124,14.3743
3.6163,14.2643
3.6803,2.7451
2.5556,0.3793
3.0003,14.693
12.5616,2.8855
11.7885,11.9439
0.8729,3.1134
1.5409,2.088
0.3198,4.3083
0.6814,8.2909
2.4371,4.6989
2.9163,1.9691
0.2193,6.5885
9.7309,4.5497
3.2813,8.5492
6.9922,5.5964
0.8063,5.4069
13.8561,4.1505
1.9047,17.1106
16.9748,6.5241
2.7639,8.9467
2.0539,6.1443
2.6989,10.1166
2.2089,15.5355
2.2489,3.6558
10.0237,1.3522
0.3513,6.1849
1.1348,7.1394
5.2506,10.784
0.1993,10.4522
1.3759,1.2763
0.8204,10.6311
4.3107,4.8831
2.3444,3.6016
4.2181,5.2884
1.7442,30.4537
13.0174,2.1183
2.8815,11.6153
3.0946,1.8771
2.0534,7.4562
4.8423,14.2608
4.3933,4.2621
4.9924,3.3062
6.8896,9.7589
2.3709,6.2113
2.3504,7.186
4.7702,18.2583
2.4427,6.7632
6.6601,5.5214
0.2485,3.2863
4.7453,3.3049
2.8576,22.5006
14.4097,6.0599
2.1227,3.9292
2.1311,5.6275
3.0259,6.3697
0.3417,8.4914
2.5784,3.5717
8.0855,6.178
6.6272,18.9368
7.1421,0.5711
3.5869,3.9061
1.6045,2.6386
13.2045,4.4119
0.7904,1.7438
1.7223,10.9341
5.8598,17.377
5.1921,9.118
0.831,2.1627
6.8652,8.3877
7.5793,5.8135
0.2473,9.9553
0.4027,4.4297
1.4613,10.8643
5.608,14.473
2.5184,4.606
2.6183,6.1532
0.4625,9.9844
5.6617,3.7111
4.6523,1.9736
4.5172,8.7332
3.4042,11.6236
13.0673,3.9679
17.3262,7.4997
1.7712,2.8755
4.1992,12.1035
1.2893,3.4786
11.0515,10.5527
