in_zone,out_zone
0.0,0.6999
0.0,0.1807
0.0653,0.0299
0.0,0.0
0.0,0.0438
0.0337,0.0
0.0,0.0
0.1026,0.0847
0.0,0.0955
0.0,0.1943
0.5042,0.0
0.0,0.0
0.0,0.0
0.4931,0.0
0.0,0.0946
0.0,0.0
0.0563,0.0
0.0,0.1182
0.0,0.0623
0.0,0.0
0.0,0.0
0.0,0.5169
0.0,0.0
0.0,0.6243
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0387
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.3186
0.0,0.1968
0.0,0.0906
0.0,0.0292
0.1077,0.0
0.0,0.4148
0.0,0.0
0.0,0.0836
0.0,0.0707
0.0,0.0
0.1791,0.0
0.0,0.0
0.1358,0.0011
0.0,0.0
0.0,0.0
0.058,0.0
0.0627,0.0264
0.0,0.0
0.0312,0.0
0.0,0.5227
0.413,0.0
0.0427,0.0
0.2924,0.0
0.0,0.0
0.0,0.0194
0.0631,0.2336
0.6026,0.0
0.0943,0.0
0.0,0.0819
0.3807,0.0
0.0,0.0357
0.0,0.0
0.0,0.0038
0.0,0.0
0.0404,0.0315
0.0,0.6813
0.0,0.0554
0.0,0.0
0.0,0.607
0.085,0.196
0.1184,0.0
0.0,0.0834
0.0,0.8541
0.0,0.0
0.0,0.0068
0.0,0.0
0.0,0.5081
0.3133,0.0197
0.0116,0.0
0.0571,0.0
0.2937,0.3111
0.287,0.0925
0.3278,0.0
0.0,0.0
0.1853,0.0
0.0,0.0
0.0,0.0
0.0,0.249
0.0,0.0
0.0,0.0
0.0,0.1285
0.4217,0.0
0.0,0.3102
0.0,0.1928
0.0,0.0
0.0,0.0
0.0,0.0
0.2396,0.0
0.0,0.7986
0.2003,0.0
0.0,0.0366
0.2065,0.4786
0.0,0.1504
0.0,0.0
0.0252,0.0
0.0577,0.2789
0.6106,0.1456
0.3521,0.1339
0.2649,0.0375
0.0843,0.0
0.2177,0.0844
0.0,0.0
0.0,0.0
0.0293,0.0
0.0,0.415
0.2238,0.0339
0.2244,0.1088
0.1832,0.0
0.0922,0.0
0.0852,0.0
0.0144,0.0667
0.0588,0.0
0.0,0.0
0.0956,0.1894
0.0,0.1302
0.0247,0.1847
0.1212,0.0
0.0,0.0
0.0,0.2359
0.0,0.0
0.6522,0.0
0.6445,0.4199
0.0,0.0
0.0,0.0945
0.0,0.0
0.0,0.7006
0.3052,0.0
0.0186,0.0
0.0,0.0
0.457,0.0
0.1619,0.2387
0.0247,0.177
0.0039,0.3293
0.0,0.5767
0.0675,0.0
0.0,0.2705
0.0,0.1974
0.0,0.0231
0.0,0.0
0.0,0.0
0.0,0.0
0.0625,0.0
0.0908,0.0
0.0,0.0454
0.0,0.2183
0.0,0.0
0.0,0.0432
0.0,0.0
0.0302,0.0
0.0,0.0
0.0,0.0
0.0,0.0186
0.0487,0.0
0.0449,0.0
0.4593,0.0733
0.0387,0.0227
0.0,0.1546
0.0,0.0
0.0026,0.0
0.0852,0.0
0.0,0.0
0.0,0.0
0.0,0.3821
0.0,0.3778
0.0,0.0
0.0,0.2184
0.0,0.0016
0.0,0.0
0.0214,0.0
0.0496,0.0
0.0538,0.0
0.0,0.0
0.0918,0.0724
0.4528,0.0
0.2638,0.0
0.0,0.0
0.0,0.0
0.0,0.0714
0.0814,0.0
0.2288,0.26
0.0,0.0
0.2771,0.1575
0.0,0.0
0.2168,0.0876
0.0551,0.0
0.0,0.1597
0.0,0.0
0.0,0.0
0.0,0.3151
0.0,0.0492
0.0,0.2164
0.0,0.2497
0.2814,0.0
0.0,0.0
0.0,0.0
0.2079,0.0
0.0,0.0
0.3184,0.0193
0.0,0.3412
0.1371,0.5718
0.2636,0.0
0.1503,0.0126
0.0,0.0123
0.4504,0.0104
0.0,0.0
0.6623,0.307
0.0,0.0
0.1061,0.0
0.0764,0.0
0.0075,0.0
0.1203,0.1656
0.568,0.1079
0.0,0.0
0.3026,0.0
0.0,0.014
0.0,0.025
0.0582,0.3109
0.0,0.0
0.0341,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.7543,0.0
0.0,0.4773
0.0,0.277
0.4895,0.1353
0.0,0.1109
0.0,0.0
0.0,0.0
0.2233,0.0
0.0,0.0
0.099,0.0
0.0,0.0
0.0,0.0
0.168,0.2673
0.0,0.5969
0.0,0.5116
0.0,0.0
0.5108,0.5078
0.0,0.03
0.0,0.0376
0.0,0.3904
0.0,0.0
0.1212,0.0
0.0,0.0
0.0,0.0
0.0,0.1203
0.3278,0.0
0.3949,0.6875
0.1255,0.2179
0.0,0.6461
0.0,0.0
0.0533,0.4955
0.0,0.0
0.4078,0.1612
0.0024,0.1769
0.3417,0.0
0.0,0.0
0.4167,0.0
0.0,0.0
0.0,0.0
0.1027,0.484
0.0399,0.3433
0.0,0.0461
0.9068,0.276
0.0,0.0
0.595,0.0
0.0343,0.5742
0.1463,0.3029
0.2174,0.0
0.1193,0.0077
0.0019,0.0
0.0,0.3698
0.0,0.1173
0.0123,0.0
0.0,0.0
0.0,0.0
0.0784,0.0
0.0,0.0
0.0,0.0283
0.0,0.3814
0.0,0.1062
0.0,0.2255
0.2071,0.0
0.0,0.0132
0.0,0.0004
0.0,0.0
0.0041,0.1881
0.0,0.1008
0.1063,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.225,0.0
0.0,0.2079
0.0799,0.0
0.0,0.1557
0.0,0.232
0.0,0.0
0.1597,0.0
0.0,0.5419
0.8983,0.1284
0.0,0.0
0.0,0.0
0.0,0.0
0.3604,0.0059
0.0,0.0
0.0329,0.0
0.4791,0.0
0.0,0.0
0.0,0.3566
0.1025,0.0
0.0,0.2655
0.0,0.1032
0.2481,0.0
0.3684,0.0
0.0758,0.3603
0.0,0.1654
0.0,0.2166
0.3434,0.1143
0.0649,0.9954
0.3119,0.0
0.0514,0.0597
0.0,0.0718
0.0,0.1476
0.1507,0.0943
0.0,0.0
0.0,0.0
0.0,0.0
0.0139,0.0
0.0907,0.0
0.036,0.0
0.0,0.0
0.0168,0.0
0.282,0.0
0.0,0.0
0.0,0.0
0.0,0.1155
0.0,0.1962
0.0,0.0253
0.0,0.1159
0.0,0.0
0.0403,0.022
0.0365,0.183
0.195,0.0
0.0,0.0
0.0,0.3713
0.2071,0.0
0.1369,0.0
0.1101,0.0
0.0,0.0
0.1482,0.2547
0.0669,0.2913
0.2518,0.0
0.0,0.0
0.0,0.391
0.0,0.0
0.0,0.0623
0.0476,0.0871
0.0,0.2078
0.0,0.2456
0.0,0.0
0.0,0.0032
0.0,0.0
0.0,0.0116
0.0171,0.0
0.043,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0179,0.8237
0.0,0.0
0.0,0.0
0.0,0.497
0.3129,0.1503
0.1014,0.0176
0.0,0.0
0.0,0.7599
0.0,0.087
0.0,0.0
0.0,0.3159
0.0,0.0616
0.0,0.0
0.0774,0.9488
0.0,0.4226
0.0373,0.0
0.0475,0.3905
0.0,0.0
0.0,0.3413
0.0,0.0
0.0,0.1835
0.0,0.0
0.0,0.0
0.2735,0.0
0.0,0.0744
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.1024
0.0,0.0
0.0,0.0
0.1591,0.3025
0.0,0.0
0.0,0.0
0.0389,0.0
0.2101,0.0
0.0,0.3971
0.0,0.0189
0.1355,0.1331
0.0,0.0
0.0,0.1362
0.0,0.6194
0.0,0.0
0.0,0.0
0.0079,0.0
0.0,0.0
0.0,0.0
0.0038,0.0
0.0,0.0
0.2831,0.1836
0.0,0.1418
0.0,0.1764
0.0,0.0
0.0,0.0647
0.0,0.7704
0.0,0.9308
0.4882,0.0
0.0,0.0
0.0,0.2288
0.0,0.5684
0.0,0.0
0.0,0.0
0.1581,0.0
0.0,0.0768
0.0,0.1368
0.0,0.2023
0.0,0.0307
0.0,0.0
0.9965,0.0983
0.1965,0.0
0.0,0.1213
0.0,0.0548
0.1823,0.3869
0.0,0.1675
0.0,0.0
0.0,0.0
0.0,0.0
0.2704,0.0
0.0742,0.0
0.0,0.1951
0.322,0.0
0.2936,0.0
0.0,0.1947
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0556
0.0,0.0
0.0,0.1286
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.4801
0.0,0.5663
0.0,0.0073
0.0,0.0
0.0,0.0
0.0,0.4053
0.0,0.9813
0.1937,0.0134
0.0,0.1947
0.0,0.0026
0.0,0.7711
0.0,0.116
0.0,0.2153
0.1522,0.6145
0.0,0.4847
0.0,0.2304
0.0,0.0
0.0,0.5599
0.2278,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0812
0.0,0.0923
0.0204,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.3054
0.0,0.0808
0.069,0.1689
0.0,0.0071
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.2948
0.1092,0.0025
0.0274,0.3902
0.0,0.5258
0.0,0.2367
0.5716,0.4207
0.0,0.0
0.1579,0.5376
0.0,0.3339
0.0,0.0
0.0,0.0
0.0,0.0
0.3679,0.0
0.0,0.3199
0.0,0.8919
0.5303,0.723
0.0,0.124
0.4755,0.0
0.0,0.0
0.0,0.1608
0.0,0.0
0.5437,0.0
0.0,0.0
0.05,0.0
0.0,0.0621
0.0,0.0
0.0,0.0
0.1313,0.0
0.0,0.009
0.0,0.0
0.5875,0.1375
0.3588,0.0
0.0,0.0016
0.0,0.0
0.0,0.5796
0.0,0.1591
0.0,0.0
0.2556,0.0
0.2727,0.0
0.0,0.3584
0.0472,0.1681
0.9027,0.0
0.0,0.0
0.0,0.0594
0.5512,0.0
0.0,0.0491
0.0,0.0
0.0982,0.6781
0.0,0.0
0.0152,0.0289
0.5386,0.0
0.0434,0.0081
0.0,0.2557
0.0,0.0
0.0,0.0348
0.0,0.1795
0.0634,0.0
0.0,0.0
0.2996,0.5603
0.112,0.0
0.3833,0.0067
0.0,0.0
0.0,0.0
0.0791,0.0
0.0,0.8034
0.0278,0.1023
0.0,0.1436
0.0,0.0
0.0,0.059
0.1972,0.0
0.0,0.4397
0.0,0.0
0.0,0.0
0.0,0.1697
0.1111,0.0
0.0,0.0
0.0,0.066
0.0,0.0
0.3253,0.0
0.0,0.0
0.4346,0.0219
0.0475,0.0
0.0,0.6013
0.0361,0.1165
0.0,0.1844
0.0,0.5337
0.0,0.0
0.0,0.0
0.042,0.5171
0.0,0.0
0.0,0.2921
0.0,0.0042
0.0,0.1712
0.0,0.0
0.2237,0.2913
0.0593,0.0517
0.296,0.1899
0.0,0.0772
0.0,0.1854
0.0,0.0
0.0,0.2889
0.0498,0.0687
0.0,0.0
0.0,0.3561
0.0,0.4995
0.0,0.0
0.0,0.0
0.0,0.1071
0.0,0.0
0.3574,0.0803
0.0,0.1761
0.0,0.1931
0.0,0.0
0.0,0.2474
0.0,0.0
0.8492,0.2322
0.0,0.0
0.0703,0.4685
0.0,0.1273
0.2538,0.0241
0.0,0.0
0.0,0.1211
0.0,0.2323
0.0,0.5672
0.03,0.2288
0.0,0.0
0.2247,0.0
0.4074,0.0052
0.0,0.0
0.0,0.0901
0.0,0.0
0.0,0.0
0.1342,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0062
0.0,0.2641
0.0,0.0983
0.0621,0.0
0.02,0.0
0.1193,0.2997
0.0,0.0
0.0769,0.2879
0.0,0.0577
0.0,0.0
0.0,0.0
0.0,0.4946
0.1353,0.0
0.0,0.0
0.03,0.0
0.0197,0.0613
0.0,0.2069
0.0,0.0
0.3633,0.0
0.3367,0.281
0.0,0.0
0.0,0.3915
0.0,0.1061
0.0,0.0
0.0268,0.0742
0.0,0.879
0.0046,0.0
0.0898,0.0
0.2435,0.0
0.9223,0.0
0.0,0.0
0.3166,0.0
0.0608,0.0263
0.1356,0.0
0.0,0.0075
0.294,0.1189
0.0,0.0
0.095,0.0
0.0,0.0
0.0,0.0
0.087,0.2592
0.0,0.7987
0.0565,0.3677
0.0,0.5555
0.2787,0.0375
0.4709,0.0
0.0,0.06
0.0,0.7874
0.0,0.1006
0.0,0.6139
0.0,0.8381
0.3018,0.09
0.3604,0.0108
0.0,0.035
0.1304,0.0
0.3745,0.2668
0.0,0.004
0.048,0.0
0.1213,0.355
0.0,0.0
0.5979,0.0
0.0,0.0
0.0,0.0
0.553,0.554
0.0375,0.0
0.0,0.0921
0.1302,0.8372
0.0,0.0357
0.0,0.3671
0.0,0.0
0.0,0.0456
0.1471,0.2202
0.0,0.2483
0.0,0.0
0.0,0.0
0.1691,0.0
0.0,0.0501
0.1312,0.3062
0.0,0.3296
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.2774,0.2906
0.2569,0.0
0.0564,0.3097
0.0,0.0
0.0504,0.1544
0.2092,0.0
0.0,0.0837
0.0,0.1314
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.1208,0.0783
0.0,0.1714
0.0,0.0135
0.0,0.0177
0.081,0.0
0.0,0.0
0.0255,0.0
0.0,0.0392
0.5216,0.0
0.5224,0.0
0.0,0.0
0.2446,0.0331
0.0,0.0
0.1432,0.0
0.0727,0.0
0.0098,0.0
0.0,0.0
0.0917,0.0224
0.0,0.128
0.0,0.0065
0.0,0.0
0.2229,0.0
0.172,0.0
0.5725,0.0
0.0,0.0
0.4362,0.0
0.3378,0.0044
0.3155,0.0
0.0,0.0
0.4545,0.0
0.1679,0.0
0.0,0.0
0.1701,0.0042
0.0,0.0
0.4021,0.0
0.4941,0.0
0.0,0.4668
0.0791,0.0
0.0,0.0
0.1639,0.0
0.2223,0.0
0.0,0.0
0.0,0.2314
0.0752,0.0
0.1986,0.0
0.2148,0.0
0.1087,0.0
0.274,0.0
0.0815,0.037
0.0721,0.0
0.0,0.0
0.0071,0.0
0.0802,0.0
0.7321,0.0
0.0,0.3144
0.6602,0.0719
0.0,0.1824
0.0,0.2784
0.0426,0.1191
0.0,0.0
0.0,0.0455
0.2881,0.3754
0.1662,0.0
0.6604,0.0
0.328,0.0
0.0161,0.5252
0.0,0.0
0.5719,0.1092
0.3102,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.232,0.0
0.205,0.0
0.0,0.0091
0.4803,0.0
0.662,0.0
0.1433,0.7546
0.4585,0.0
0.0,0.4978
0.3081,0.0
0.0,0.3473
0.0,0.0
0.0,0.0036
0.0,0.042
0.0339,0.0
0.0,0.3622
0.0223,0.2324
0.6489,0.0
0.0,0.0
0.0,0.0
0.2542,0.0
0.0,0.1804
0.2379,0.0
0.1849,0.7815
0.0,0.3319
0.6954,0.1841
0.0,0.0586
0.0,0.0
0.5617,0.0
0.5501,0.0
0.6355,0.0
0.0,0.0496
0.0,0.0054
0.0,0.1791
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.2765,0.0
0.0,0.0
0.2797,0.3131
0.004,0.3607
0.3387,0.0
0.0,0.0222
0.0896,0.1278
0.0,0.6361
0.076,0.0
0.0,0.0
0.0493,0.0
0.0,0.0
0.7423,0.3383
0.0133,0.0
0.0,0.2704
0.0029,0.0687
0.0612,0.0
0.0,0.0
0.0456,0.0
0.0851,0.0277
0.0798,0.0
0.1884,0.2759
0.4103,0.0
0.7554,0.2794
0.0,0.0
0.0,0.3353
0.0,0.0
0.7628,0.0
0.0,0.0
0.617,0.0
0.0,0.0
0.0149,0.0886
0.0,0.0
0.0,0.0
0.0,0.0106
0.0635,0.0
0.1941,0.0
0.0,0.0
0.0202,0.4286
0.0,0.0
0.0318,0.1012
0.0,0.0
0.0,0.0
0.0,0.3088
0.0,0.0
0.006,0.0
0.0,0.0226
0.0,0.0
0.0,0.0
0.0078,0.0
0.0128,0.0
0.0,0.0
0.0,0.0
0.0095,0.0
0.0,0.1722
0.0,0.0
0.2857,0.0
0.0,0.0382
0.3291,0.0
0.0,0.0
0.0,0.0
0.2724,0.2252
0.2425,0.0988
0.3581,0.1066
0.0,0.0
0.0,0.0
0.4977,0.0
0.0,0.0
0.139,0.5765
0.7459,0.0
0.5546,0.0222
0.1386,0.0
0.1594,0.0
0.0,0.0775
0.2026,0.0
0.4191,0.0063
0.6859,0.0
0.0313,0.1294
0.0254,0.3382
0.0,0.0204
0.2204,0.7491
0.4035,0.0
0.0,0.0
0.0,0.5098
0.0,0.0
0.0102,0.4621
0.0,0.0
0.0,0.0182
0.5428,0.0
0.0,0.0
0.0,0.3921
0.6999,0.0096
0.0,0.2417
0.0,0.0
0.0832,0.5222
0.0,0.0797
0.0,0.0
0.125,0.0
0.0,0.0
0.0656,0.0459
0.0,0.1684
0.0149,0.204
0.0,0.0
0.0,0.0226
0.0,0.0
0.2413,0.0
0.1237,0.0
0.0437,0.2382
0.0,0.0
0.0,0.086
0.012,0.0
0.0,0.1111
0.0,0.0
0.0,0.1129
0.0,0.0188
0.0,0.0
0.6092,0.0
0.0,0.0791
0.0,0.0
0.0614,0.6222
0.2075,0.2417
0.0,0.0511
0.1634,0.0
0.0398,0.0
0.0,0.1809
0.0,0.0
0.0,0.1441
0.0,0.9118
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.1201,0.107
0.0,0.1767
0.0,0.0
0.0,0.2819
0.0,0.0
0.0809,0.0699
0.0063,0.6995
0.2388,0.288
0.024,0.3093
0.0,0.5864
0.0723,0.0619
0.0,0.4405
0.0492,0.0
0.2485,0.2995
0.0,0.0
0.0487,0.5554
0.0,0.0
0.0246,0.0
0.0,0.0
0.0,0.0
0.0,0.5461
0.0,0.155
0.0124,0.0
0.0,0.0
0.1259,0.0
0.0,0.3985
0.0182,0.4788
0.0,0.0228
0.1184,0.0051
0.0,0.0
0.0,0.0069
0.0044,0.0464
0.1772,0.0
0.2933,0.0825
0.0628,0.0
0.0,0.0574
0.0614,0.2346
0.114,0.0789
0.0,0.0694
0.1915,0.0882
0.5054,0.2363
0.0,0.0548
0.0,0.1067
0.0,0.0
0.0114,0.0
0.1251,0.4476
0.0,0.0048
0.0617,0.1061
0.0,0.0
0.0,0.0
0.1976,0.2599
0.2403,0.2349
0.0,0.1961
0.0,0.0
0.0,0.0
0.0295,0.1122
0.0,0.0
0.0,0.2797
0.0,0.0
0.0,0.0
0.0,0.2402
0.2469,0.0
0.0,0.0
0.2728,0.0
0.0,0.1097
0.0,0.0
0.0,0.0786
0.0775,0.074
0.5401,0.1233
0.0,0.0
0.0,0.0932
0.0,0.0
0.1353,0.1137
0.1355,0.9615
0.0,0.0
0.019,0.0464
0.17,0.0
0.0,0.0
0.0,0.2363
0.0,0.0386
0.0,0.1976
0.0,0.8573
0.0,0.0988
0.0423,0.0
0.0,0.2002
0.0,0.0368
0.0,0.4625
0.3568,0.153
0.0,0.0
0.0,0.0977
0.0,0.0
0.0,0.0
0.0,0.1545
0.0,0.058
0.0,0.0
0.0,0.4155
0.2031,0.0
0.1122,0.0
0.0,0.0
0.0,0.0937
0.2507,0.1018
0.0,0.0
0.0,0.0
0.0338,0.0
0.0,0.0985
0.0,0.0
0.0,0.0083
0.0,0.1077
0.0,0.127
0.0664,0.2164
0.0,0.0
0.0014,0.0301
0.0,0.0823
0.0,0.0435
0.0,0.3599
0.0,0.0
0.0,0.0
0.0586,0.0
0.0276,0.0
0.2518,0.4142
0.0,0.0
0.0,0.0
0.0236,0.0537
0.0,0.1079
0.0,0.0
0.0,0.0
0.1742,0.1058
0.0,0.0
0.1412,0.0738
0.0,0.2469
0.1314,0.0
0.0,0.0138
0.0,0.1443
0.0174,0.0
0.0,0.0
0.0338,0.0
0.0,0.0
0.0064,0.0
0.0,0.247
0.3047,0.0208
0.0971,0.0
0.3088,0.123
0.0,0.1697
0.0841,0.2003
0.0797,0.0
0.429,0.0
0.0,0.0
0.0,0.0196
0.0,0.0
0.0,0.0
0.0,0.2253
0.0,0.4322
0.0,0.0
