in_zone,out_zone
0.0,0.0
0.3274,0.0
0.0,0.0
0.1937,0.0
0.2261,0.0
0.1696,0.0
0.0,0.1576
0.1123,0.0
0.0,0.0
0.0,0.0203
0.0,0.1706
0.0742,0.0204
0.1248,0.0558
0.0,0.0
0.3072,0.0043
0.1501,0.0
0.0,0.0078
0.0,0.0
0.0,0.0
0.0,0.0786
0.2861,0.0
0.0,0.0087
0.0688,0.0825
0.0,0.0667
0.0,0.0
0.0,0.1953
0.0,0.2017
0.0,0.4704
0.0,0.023
0.0,0.0
0.438,0.0968
0.0,0.7243
0.1009,0.0
0.0,0.0
0.0,0.0
0.1262,0.0616
0.0,0.0986
0.0,0.0
0.0,0.0
0.0,0.04
0.0,0.0
0.0,0.0
0.0714,0.0981
0.0,0.0187
0.0,0.0
0.0197,0.0
0.1679,0.2135
0.0,0.0243
0.0423,0.0
0.0,0.6247
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.029
0.0,0.0642
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.1172,0.0826
0.0,0.0218
0.0,0.0183
0.0,0.2176
0.0,0.0723
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0887
0.0,0.0
0.0,0.0
0.0468,0.0709
0.0,0.0502
0.0,0.0383
0.0,0.0
0.0758,0.2377
0.341,0.0
0.0,0.0072
0.107,0.0535
0.0,0.0
0.0,0.0
0.1109,0.0
0.0,0.0
0.0307,0.0873
0.0,0.0
0.0079,0.0
0.0,0.0779
0.0,0.0
0.0,0.0743
0.0,0.0
0.0,0.0519
0.0,0.0
0.2013,0.0973
0.0791,0.4437
0.0,0.0203
0.0,0.0
0.0,0.0
0.0,0.243
0.0,0.0
0.004,0.056
0.0034,0.6979
0.0,0.273
0.1294,0.052
0.0,0.0
0.0259,0.0361
0.1055,0.0209
0.0,0.2007
0.0185,0.0
0.0,0.0612
0.0,0.0
0.0,0.0
0.0,0.1462
0.0,0.0
0.0188,0.0653
0.0,0.0
0.0759,0.0036
0.0,0.0
0.0,0.0
0.0169,0.0
0.0554,0.0
0.0,0.0
0.0,0.0
0.0247,0.0
0.0,0.1657
0.0,0.0756
0.0,0.0
0.0026,0.033
0.0,0.0476
0.0,0.1249
0.3295,0.0077
0.0,0.0
0.0,0.0
0.0,0.2366
0.0,0.0
0.0,0.1627
0.0,0.0
0.0,0.0
0.0496,0.0146
0.0,0.0
0.0489,0.0843
0.0,0.0
0.0486,0.0
0.0,0.0063
0.0,0.0
0.0,0.0
0.6122,0.0
0.0,0.0
0.0,0.0
0.2273,0.0565
0.0544,0.6412
0.0,0.1032
0.0697,0.0
0.0,0.0873
0.0,0.0
0.0477,0.0369
0.0,0.8494
0.0,0.0
0.0,0.0404
0.0,0.0
0.0,0.128
0.0523,0.0062
0.0404,0.0
0.0,0.0396
0.0517,0.0
0.1813,0.1982
0.1463,0.0
0.0,0.0
0.0,0.0
0.0515,0.0062
0.0,0.1126
0.2999,0.0
0.0,0.0
0.0,0.4168
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0452
0.1921,0.0622
0.0179,0.1296
0.0,0.0337
0.0371,0.0
0.0,0.0
0.0,0.0
0.0,0.0111
0.0,0.1599
0.0,0.3964
0.0201,0.0
0.2404,0.0944
0.239,0.0
0.0,0.1221
0.0,0.02
0.0,0.3716
0.0,0.0
0.0563,0.0144
0.148,0.0
0.0,0.1075
0.0,0.0282
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0351
0.0,0.1451
0.0,0.0
0.5512,0.0
0.0,0.0
0.0,0.0
0.6577,0.0
0.6342,0.0187
0.0085,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0819,0.1986
0.5944,0.0
0.0,0.0
0.0,0.0129
0.0,0.0027
0.0435,0.1333
0.0,0.0
0.5303,0.0
0.1201,0.0
0.3622,0.0
0.2039,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0279,0.0
0.0,0.039
0.0,0.208
0.0,0.0981
0.2064,0.0
0.0,0.0
0.0,0.0042
0.0,0.0
0.0,0.0
0.0,0.0963
0.0554,0.4182
0.0,0.0
0.0841,0.3976
0.3569,0.0
0.1617,0.0
0.1795,0.0
0.0,0.0
0.0212,0.042
0.136,0.2013
0.0,0.0801
0.0,0.0
0.0,0.0
0.0,0.0
0.1407,0.8428
0.5692,0.0
0.1671,0.1525
0.1976,0.0
0.1196,0.0
0.0,0.0
0.0,0.1719
0.0,0.0
0.0,0.0183
0.0372,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0444,0.0
0.0,0.0442
0.0,0.11
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
