valeur_tpi,zone_y_n
0,1
0.3274,1
0,1
0.1937,1
0.2261,1
0.1696,1
0,1
0.1123,1
0,1
0,1
0,1
0.0742,1
0.1248,1
0,1
0.3072,1
0.1501,1
0,1
0,1
0,1
0,1
0.2861,1
0,1
0.0688,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0.438,1
0,1
0.1009,1
0,1
0,1
0.1262,1
0,1
0,1
0,1
0,1
0,1
0,1
0.0714,1
0,1
0,1
0.0197,1
0.1679,1
0,1
0.0423,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0.1172,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0.0468,1
0,1
0,1
0,1
0.0758,1
0.341,1
0,1
0.107,1
0,1
0,1
0.1109,1
0,1
0.0307,1
0,1
0.0079,1
0,1
0,1
0,1
0,1
0,1
0,1
0.2013,1
0.0791,1
0,1
0,1
0,1
0,1
0,1
0.004,1
0.0034,1
0,1
0.1294,1
0,1
0.0259,1
0.1055,1
0,1
0.0185,1
0,1
0,1
0,1
0,1
0,1
0.0188,1
0,1
0.0759,1
0,1
0,1
0.0169,1
0.0554,1
0,1
0,1
0.0247,1
0,1
0,1
0,1
0.0026,1
0,1
0,1
0.3295,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0.0496,1
0,1
0.0489,1
0,1
0.0486,1
0,1
0,1
0,1
0.6122,1
0,1
0,1
0.2273,1
0.0544,1
0,1
0.0697,1
0,1
0,1
0.0477,1
0,1
0,1
0,1
0,1
0,1
0.0523,1
0.0404,1
0,1
0.0517,1
0.1813,1
0.1463,1
0,1
0,1
0.0515,1
0,1
0.2999,1
0,1
0,1
0,1
0,1
0,1
0,1
0.1921,1
0.0179,1
0,1
0.0371,1
0,1
0,1
0,1
0,1
0,1
0.0201,1
0.2404,1
0.239,1
0,1
0,1
0,1
0,1
0.0563,1
0.148,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0.5512,1
0,1
0,1
0.6577,1
0.6342,1
0.0085,1
0,1
0,1
0,1
0.0819,1
0.5944,1
0,1
0,1
0,1
0.0435,1
0,1
0.5303,1
0.1201,1
0.3622,1
0.2039,1
0,1
0,1
0,1
0.0279,1
0,1
0,1
0,1
0.2064,1
0,1
0,1
0,1
0,1
0,1
0.0554,1
0,1
0.0841,1
0.3569,1
0.1617,1
0.1795,1
0,1
0.0212,1
0.136,1
0,1
0,1
0,1
0,1
0.1407,1
0.5692,1
0.1671,1
0.1976,1
0.1196,1
0,1
0,1
0,1
0,1
0.0372,1
0,1
0,1
0,1
0.0444,1
0,1
0,1
0,1
0,1
0,1
0,1
0.0866,1
0.1241,1
0,1
0,1
0.1007,1
0.0682,1
0.5936,1
0,1
0.0087,1
0,1
0.4249,1
0.6057,1
0,1
0,1
0.1575,1
0.5085,1
0,1
0.0909,1
0.2248,1
0.0014,1
0.326,1
0.1868,1
0.6591,1
0,1
0.094,1
0,1
0,1
0.0747,1
0.1974,1
0,1
0,1
0.3502,1
0,1
0,1
0.5272,1
0.0086,1
0,1
0,1
0,1
0.6236,1
0,1
0.3464,1
0.1322,1
0.0104,1
0,1
0.6584,1
0,1
0.1069,1
0.8213,1
0.0248,1
0,1
0.7167,1
0.0488,1
0,1
0.1138,1
0,1
0.3876,1
0.2283,1
0,1
0.1326,1
0,1
0,1
0,1
0.7681,1
0,1
0.3739,1
0.0788,1
0.0332,1
0.1104,1
0.3662,1
0,1
0.0269,1
0.2813,1
0.2061,1
0,1
0,1
0.0412,1
0,1
0,1
0.0136,1
0,1
0.2853,1
0.7561,1
0.2142,1
0,1
0,1
0,1
0.5713,1
0,1
0,1
0,1
0.2318,1
0,1
0.2111,1
0,1
0.1782,1
0,1
0.0132,1
0.1502,1
0,1
0.6153,1
0,1
0,1
0,1
0.2472,1
0,1
0.1349,1
0.0009,1
0,1
0,1
0,1
0.0916,1
0,1
0,1
0,1
0.0279,1
0,1
0,1
0,1
0.2119,1
0,1
0,1
0,1
0,1
0.1483,1
0.1192,1
0,1
0,1
0,1
0,1
0,1
0.0763,1
0.39,1
0,1
0,1
0,1
0.0062,1
0.3012,1
0.1478,1
0,1
0.2435,1
0.5054,1
0,1
0,1
0,1
0,1
0,1
0.3305,1
0,1
0.3478,1
0,1
0,1
0.0194,1
0,1
0,1
0,1
0.1123,1
0.0262,1
0,1
0,1
0.1894,1
0.3801,1
0,1
0,1
0,1
0.3104,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0.1062,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0.0122,1
0,1
0.2111,1
0,1
0.0957,1
0,1
0.123,1
0,1
0.0129,1
0,1
0.0459,1
0,1
0.1437,1
0,1
0.0736,1
0.0255,1
0.1153,1
0,1
0,1
0,1
0,1
0.2161,1
0.1596,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0.2129,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0.1083,1
0,1
0,1
0.3353,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0.9264,1
0.0416,1
0,1
0,1
0.0107,1
0.1832,1
0.411,1
0,1
0.5014,1
0,1
0,1
0,1
0.0869,1
0.5663,1
0.1706,1
0,1
0.7678,1
0.3851,1
0,1
0,1
0.0301,1
0,1
0.3491,1
0,1
0,1
0.0273,1
0.0617,1
0.0458,1
0,1
0.2502,1
0,1
0,1
0,1
0.0569,1
0,1
0,1
0.7023,1
0,1
0,1
0,1
0,1
0,1
0.0567,1
0,1
0,1
0,1
0.0115,1
0.7233,1
0,1
0.0216,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0.6997,1
0.1384,1
0,1
0,1
0,1
0,1
0.3339,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0.1276,1
0,1
0.1031,1
0,1
0,1
0,1
0,1
0.3716,1
0,1
0.4582,1
0.0384,1
0.0474,1
0,1
0.0541,1
0,1
0,1
0,1
0.1088,1
0.003,1
0,1
0.0728,1
0,1
0.0824,1
0.0119,1
0,1
0,1
0,1
0.3411,1
0,1
0.1483,1
0.1142,1
0,1
0,1
0.0716,1
0,1
0.1963,1
0.21,1
0,1
0,1
0.0421,1
0,1
0,1
0.0927,1
0.2351,1
0,1
0.1849,1
0.1459,1
0.0684,1
0.2323,1
0,1
0.1649,1
0,1
0,1
0,1
0,1
0.0215,1
0,1
0,1
0,1
0.2067,1
0,1
0.1756,1
0.0477,1
0.6316,1
0,1
0,1
0,1
0,1
0.1307,1
0,1
0,1
0.6307,1
0,1
0,1
0,1
0.2181,1
0,1
0.0488,1
0,1
0,1
0.2399,1
0,1
0,1
0.107,1
0,1
0,1
0,1
0,1
0.4978,1
0,1
0,1
0,1
0,1
0,1
0.3679,1
0,1
0,1
0.3677,1
0,1
0.4258,1
0.2332,1
0.0299,1
0.1864,1
0.1583,1
0,1
0.4093,1
0.0014,1
0.0412,1
0,1
0,1
0,1
0.2997,1
0.161,1
0,1
0.0252,1
0.069,1
0,1
0.0303,1
0.0282,1
0.3277,1
0,1
0.293,1
0.0903,1
0.277,1
0,1
0.0042,1
0,1
0.1866,1
0.1242,1
0,1
0,1
0,1
0.0825,1
0,1
0.6026,1
0.0499,1
0.5935,1
0.6714,1
0.1961,1
0,1
0,1
0.0319,1
0,1
0.0322,1
0,1
0,1
0,1
0.0645,1
0.0818,1
0,1
0,1
0,1
0.3706,1
0,1
0.1786,1
0,1
0,1
0,1
0.0052,1
0.2801,1
0,1
0.0068,1
0.4023,1
0.29,1
0,1
0.0031,1
0.0556,1
0,1
0.0341,1
0,1
0.0069,1
0,1
0,1
0,1
0.179,1
0.5261,1
0,1
0,1
0,1
0,1
0,1
0.2862,1
0.0657,1
0.2122,1
0,1
0.0351,1
0,1
0.171,1
0.0057,1
0,1
0.1569,1
0,1
0,1
0,1
0.2528,1
0.1108,1
0.0633,1
0,1
0,1
0,1
0,1
0,1
0,1
0.2773,1
0,1
0.3117,1
0.1981,1
0,1
0.3245,1
0,1
0.3231,1
0.3402,1
0,1
0,1
0.0904,1
0,1
0,1
0,1
0,1
0,1
0,1
0.0729,1
0.2179,1
0,1
0,1
0.0461,1
0,1
0,1
0,1
0,1
0,1
0,1
0.6769,1
0,1
0,1
0,1
0,1
0,1
0.6533,1
0,1
0,1
0,1
0.0176,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0.1764,1
0.459,1
0,1
0,1
0.2002,1
0.4069,1
0.429,1
0.5066,1
0.3153,1
0.2137,1
0,1
0.4047,1
0,1
0,1
0.4604,1
0,1
0.6845,1
0.4559,1
0,1
0.8391,1
0,1
0,1
0.5821,1
0,1
0.4775,1
0.6088,1
0,1
0,1
0.4043,1
0.072,1
0.1558,1
0.0716,1
0.5772,1
0,1
0.1905,1
0,1
0,1
0.1409,1
0.4997,1
0,1
0.1888,1
0,1
0,1
0,1
0,1
0,1
0.5358,1
0.1672,1
0,1
0.4917,1
0,1
0.3143,1
0,1
0.6745,1
0,1
0.8106,1
0.0556,1
0,1
0,1
0.0186,1
0,1
0,1
0.157,1
0.0989,1
0.101,1
0.0738,1
0.7471,1
0,1
0.1734,1
0.0648,1
0.3323,1
0,1
0.1911,1
0.2318,1
0.058,1
0.1472,1
0.1965,1
0.8164,1
0.0073,1
0.3079,1
0.006,1
0,1
0.1694,1
0,1
0,1
0.149,1
0.3625,1
0,1
0,1
0,1
0,1
0,1
0.1673,1
0.0785,1
0,1
0.6882,1
0,1
0,1
0,1
0.6761,1
0.5742,1
0,1
0,1
0,1
0.4025,1
0,1
0.649,1
0,1
0,1
0,1
0.3084,1
0,1
0.3347,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0.1363,1
0,1
0,1
0.3842,1
0.0142,1
0.1739,1
0,1
0.1419,1
0,1
0.1363,1
0,1
0,1
0.147,1
0,1
0,1
0.1139,1
0.7963,1
0,1
0,1
0,1
0.1186,1
0,1
0.6977,1
0,1
0,1
0.7225,1
0.2838,1
0.2104,1
0,1
0.4656,1
0,1
0.0129,1
0.0896,1
0.1936,1
0,1
0,1
0,1
0.1857,1
0,1
0.8418,1
0.5324,1
0.0301,1
0,1
0,1
0.0132,1
0.1065,1
0,1
0,1
0,1
0,1
0,1
0,1
0.0936,1
0,1
0.0465,1
0.2713,1
0,1
0,1
0,1
0.3982,1
0,1
0.9031,1
0,1
0,1
0,1
0,1
0.0022,1
0,1
0.1748,1
0.2162,1
0,1
0.0016,1
0.0022,1
0.1675,1
0.1798,1
0,1
0,1
0,1
0,1
0.0401,1
0,1
0,1
0.3631,1
0,1
0,1
0,1
0,1
0,1
0.0766,1
0.143,1
0.6319,1
0.1395,1
0,1
0,1
0,1
0,1
0,1
0,1
0.1526,1
0.6775,1
0.0393,1
0,1
0.1431,1
0,1
0.1047,1
0.3024,1
0,1
0.0549,1
0,1
0.058,1
0,1
0,1
0,1
0,1
0,1
0.1288,1
0,1
0.1039,1
0,1
0.1037,1
0,1
0.2204,1
0,1
0,1
0.023,1
0,1
0.2025,1
0,1
0,1
0.0515,1
0,1
0,1
0,1
0,1
0,1
0,1
0.1451,1
0.0364,1
0,1
0.03,1
0,1
0.9198,1
0,1
0.4787,1
0,1
0,1
0.2221,1
0.067,1
0,1
0,1
0.2778,1
0.1996,1
0,1
0,1
0.2698,1
0.0395,1
0,1
0,1
0,1
0,1
0,1
0.1331,1
0.3643,1
0.5742,1
0.3614,1
0,1
0.0064,1
0.3693,1
0,1
0,1
0,1
0,1
0.1056,1
0,1
0.0305,1
0,1
0,1
0.2908,1
0,1
0,1
0.0142,1
0,1
0.2519,1
0,1
0.2029,1
0,1
0.093,1
0.0997,1
0.1129,1
0,1
0,1
0.1089,1
0,1
0,1
0.0626,1
0,1
0.1001,1
0.1149,1
0.0835,1
0,1
0,1
0.3871,1
0,1
0,1
0,1
0.1025,1
0,1
0,1
0.0215,1
0,1
0.139,1
0.1357,1
0,1
0,1
0,1
0.2458,1
0.0218,1
0,1
0.112,1
0,1
0.5501,1
0.4136,1
0,1
0,1
0,1
0.169,1
0.0884,1
0.3287,1
0,1
0,1
0,1
0.1079,1
0,1
0.0151,1
0.1467,1
0,1
0.3166,1
0,1
0.0289,1
0,1
0,1
0,1
0.1338,1
0,1
0,1
0,1
0,1
0,1
0.4711,1
0,1
0,1
0,1
0,1
0,1
0,1
0.1771,1
0.4245,1
0.06,1
0,1
0.0627,1
0,1
0,1
0.2949,1
0,1
0,1
0.0913,1
0.1245,1
0,1
0,1
0.1626,1
0.092,1
0.3263,1
0.2134,1
0.1712,1
0,1
0,1
0.078,1
0.1025,1
0.619,1
0,1
0.0034,1
0,1
0.0282,1
0.0249,1
0,1
0.0636,1
0.1269,1
0,1
0.1157,1
0,1
0,1
0.3832,1
0,1
0,1
0,1
0,1
0,1
0,1
0.1233,1
0.2973,1
0,1
0,1
0.4398,1
0,1
0.1477,1
0,1
0.251,1
0,1
0,1
0,1
0.8227,1
0.0695,1
0,1
0.1635,1
0.0019,1
0.4441,1
0,1
0,1
0.2294,1
0,1
0.4179,1
0,1
0,1
0.1754,1
0,1
0.1135,1
0,1
0,1
0.1446,1
0.0325,1
0.0051,1
0,1
0.0739,1
0,1
0,1
0,1
0,1
0.0754,1
0.118,1
0,1
0,1
0.1051,1
0,1
