in_zone,out_zone
7.9292,11.4567
12.4605,8.9111
8.9498,11.1956
8.1128,4.9793
6.5332,6.4489
7.8435,7.0207
6.0244,11.1726
5.1902,7.315
7.0088,4.446
7.9982,4.3745
6.6593,5.3939
8.0747,8.2203
7.9377,6.3689
7.7296,9.355
5.4866,6.4648
6.4462,10.0819
4.3857,12.5808
12.492,11.4906
6.8255,11.1212
9.7591,9.5703
6.8193,8.7769
4.0929,5.717
8.4448,5.896
6.1103,5.7126
8.0127,4.6016
7.3482,4.8674
5.6799,10.4118
4.6747,6.9121
6.904,7.0057
7.5291,6.8177
7.1648,7.2437
10.5126,6.6363
7.1787,4.3519
7.935,6.3193
7.5979,7.5723
5.1744,6.3577
6.6828,7.9785
9.1999,9.3893
6.6624,8.4231
5.3108,7.8169
6.5928,6.2524
9.9932,9.868
4.3815,9.3258
14.5483,10.8924
7.0189,5.5434
4.6318,5.3748
4.8092,4.1828
4.2603,7.5409
6.8004,8.0874
10.5044,5.4063
8.8698,12.7372
8.8187,9.6256
6.2131,6.3586
6.591,7.7669
12.0385,9.2868
6.5075,6.0522
5.5743,8.1443
7.2195,8.0959
5.0916,9.9492
5.0797,4.7578
5.7584,5.811
5.2704,8.4592
6.8993,11.9268
6.2269,8.329
5.2098,5.2996
8.3384,10.1065
6.0366,8.1089
9.7012,5.9266
13.4182,8.1301
9.2745,6.1648
5.4554,8.7376
10.8213,5.9826
5.4392,7.7314
8.4799,10.642
9.3097,8.5151
7.0867,7.0373
7.8459,7.9124
7.6066,8.7905
8.1367,6.7478
7.2163,8.8931
8.8,4.7638
6.8012,5.4179
6.5828,7.3543
8.8232,12.2319
4.7599,12.3368
9.2721,5.4355
7.8097,8.073
8.2015,5.4201
6.2473,9.2968
6.7392,9.2992
4.2401,8.5665
6.961,6.2143
6.1106,6.2132
7.758,8.17
5.9919,6.5295
7.4841,5.5989
10.3116,4.804
9.7493,7.7024
13.69,8.7124
7.4377,10.5436
6.3183,6.5284
7.0811,11.3301
7.4808,4.8375
8.5902,9.1452
7.9038,5.0481
9.0432,10.0741
6.7184,5.6542
8.3851,5.2157
7.3465,11.7289
9.8296,13.5547
7.4477,8.444
7.5223,10.8316
5.9759,8.7403
7.3234,5.5161
7.2616,9.1158
7.7821,6.2186
18.3822,8.7688
6.4871,6.0435
9.2542,7.9688
6.5307,7.5995
5.4319,10.5638
7.2802,6.4182
7.7797,10.2459
6.8016,7.5145
10.1365,8.6883
7.3726,4.6718
10.1517,5.5862
5.4028,8.5322
8.1194,7.0199
5.3837,7.7587
6.6568,6.8008
6.7142,9.5498
8.4536,7.786
4.8821,8.4643
9.4474,6.6445
5.6411,6.207
4.4955,6.7461
8.163,8.6665
5.2222,7.8207
5.9791,7.0262
8.0043,11.9381
7.4391,8.9774
7.6788,9.3221
4.8073,6.2708
5.9145,6.417
10.6251,5.9978
10.6332,7.8701
7.2937,7.2003
