in_zone,out_zone
8.146,8.1357
6.0984,7.2193
8.3937,8.9871
6.5081,5.5289
8.4913,8.0648
7.7066,6.4461
8.9932,7.8012
9.5731,6.9735
7.5044,7.7553
7.0237,4.9862
6.4905,6.3997
5.2825,4.2036
5.3144,8.635
7.3219,9.5071
7.7826,6.7193
3.876,5.7074
5.5455,8.8344
7.8414,6.7701
10.0947,4.726
9.71,8.3645
16.5022,8.0315
6.5595,5.5306
6.9147,10.474
9.7259,8.4957
6.1047,6.0586
8.2171,6.1317
7.9423,4.2912
5.5712,6.4329
10.1636,5.9056
6.1242,5.7512
11.3061,6.252
7.0321,5.9297
6.8323,9.4795
8.7364,11.644
7.7871,7.8077
10.0029,5.0271
9.1388,8.7509
7.4275,9.2919
7.0005,8.7945
8.7617,3.9528
9.069,8.297
5.9022,8.3075
7.5861,8.6185
5.7454,8.4785
6.8576,5.2062
8.914,7.1726
10.8961,4.615
8.1076,8.3105
7.4856,6.2025
7.3291,6.1834
9.9559,7.0002
6.6966,6.1245
8.4824,7.5585
9.286,6.6624
7.7849,6.7276
9.8381,5.5903
8.5546,9.4438
13.0166,6.5943
7.3263,8.6575
10.2151,5.7824
7.1321,4.6241
4.2147,8.171
9.7653,4.4667
11.1486,7.5656
7.0309,8.8424
14.3665,5.4908
11.3344,9.298
10.7296,9.2784
8.2474,5.0269
12.2123,4.0181
11.2981,5.3702
6.6467,6.2259
9.4464,6.6436
8.9169,7.3425
8.3422,5.8061
7.7787,5.2073
8.1355,7.2488
8.1718,6.8999
6.6739,7.0172
6.806,6.9872
8.194,4.8238
8.5312,7.8115
7.3349,12.0694
7.2905,5.6147
9.0404,7.6176
6.6888,7.3926
8.971,7.8385
6.5461,8.1748
11.8848,7.3703
8.0316,8.1445
9.6176,5.4541
7.0246,5.082
5.9162,7.6616
10.8059,6.4413
8.1252,11.0318
11.1098,5.5878
11.4957,6.4458
7.1158,9.1388
7.8407,9.1859
7.8303,7.0775
9.3948,11.8024
6.351,10.409
9.5574,5.7335
8.8416,6.5245
6.7775,8.7032
9.4529,6.5052
9.5669,7.6498
6.0932,6.5049
8.8417,6.1551
6.5957,8.8817
9.9514,9.1453
10.3948,10.8277
9.4676,9.6377
10.0874,4.3088
7.8046,4.0189
9.2571,8.3806
9.5265,9.6547
7.2004,8.1261
6.4748,8.1622
14.3174,7.8689
9.2692,5.5797
13.5786,7.2959
11.0902,5.5055
8.0328,7.0125
5.6899,7.3596
7.6099,9.9498
8.7265,9.1176
5.699,5.282
9.2869,7.388
9.5118,7.5289
7.6692,7.1439
7.5729,7.5989
8.8119,3.6278
11.109,8.8507
6.9193,4.0842
5.8667,7.2554
9.3911,7.3304
9.2059,4.8553
8.752,3.8704
6.7194,4.5856
7.751,6.1153
6.3824,7.6485
7.1636,6.7414
8.936,5.754
6.1003,7.7537
5.5105,5.0731
5.2033,6.2556
8.4801,9.4864
5.5157,7.068
8.3101,7.947
8.991,4.8196
7.2135,5.7098
6.6526,5.0049
6.3644,5.5776
10.3932,7.25
6.669,5.2335
13.1335,8.3977
11.3733,5.4897
8.8166,8.2015
4.5772,9.0283
9.9099,7.5903
8.3325,7.7364
8.5606,5.915
14.0518,5.7459
4.7566,5.8325
8.5978,5.7857
6.08,7.7962
8.9613,6.3616
7.0772,6.888
3.1067,6.8074
9.3011,6.1452
4.7646,10.8648
8.813,8.762
5.2894,9.1227
6.0025,7.8742
5.4684,6.4047
5.1942,5.33
8.3646,5.5306
6.0861,6.3039
6.1571,6.0823
6.9642,7.4122
5.0369,8.9253
5.1916,5.6101
7.6674,5.5004
15.486,7.7501
14.2085,5.1288
6.2723,6.084
7.62,10.0425
5.2862,8.1815
11.4269,6.2318
16.2337,7.2008
4.7822,7.5775
7.7029,9.7594
6.5484,5.9173
13.1332,6.7376
5.2853,7.206
8.5822,10.1203
7.9205,9.0695
7.4438,6.8024
7.1766,7.0744
5.1553,5.1639
11.8116,6.4079
6.1692,5.3691
8.018,6.2514
4.7605,7.9409
3.3268,6.3389
6.1261,5.5877
7.0388,5.544
9.2464,6.3207
4.8718,6.4847
5.46,5.4769
9.9663,8.8788
5.9653,5.6102
4.9935,8.4995
5.2275,9.7739
8.2466,7.0126
6.7457,9.3882
5.4162,11.6476
5.4445,9.9161
7.2404,6.901
6.1886,6.8832
8.4578,8.0903
5.9653,9.2148
10.3007,9.0153
8.011,8.8794
5.4011,8.2602
8.0665,8.3997
6.8568,5.1974
4.6489,6.3055
14.8754,5.9845
9.7437,7.0624
13.0713,8.7962
6.9687,8.0974
11.0977,4.8878
6.978,7.4557
6.6246,6.8247
5.9079,5.979
8.2211,6.2773
12.757,6.1689
10.0422,5.2186
9.8688,9.615
14.9057,9.9769
9.0096,7.879
9.6491,5.9406
9.91,12.0477
10.1285,10.04
5.0753,6.1118
6.132,7.222
6.1698,4.5943
5.2052,8.9908
7.2728,4.9286
8.0981,5.6532
10.108,7.8389
7.8585,6.2288
8.4346,8.0547
9.0251,4.4056
8.6558,4.34
10.0894,3.5464
7.461,6.3647
4.608,6.4244
6.1975,7.7502
4.6562,6.7799
8.0422,7.2449
5.8451,5.653
5.4474,9.3656
6.6317,5.3528
7.4792,4.1215
6.9694,5.13
5.5878,10.0738
6.5353,5.3462
11.0674,7.1
4.6648,5.2438
4.5614,4.0432
10.6565,7.6966
10.5693,4.0786
4.9094,6.2859
7.8389,7.731
4.7154,7.1185
4.6519,5.9479
8.9964,4.052
16.1054,6.1835
8.384,4.7284
5.9405,9.3107
5.7122,6.9279
5.1637,7.7235
11.5343,8.4885
7.6748,5.7163
6.1309,11.8005
4.9396,8.3539
7.9356,7.0611
14.1835,6.2776
5.5153,8.1554
5.4746,7.2817
5.244,6.7185
10.1202,6.584
6.1162,6.9649
6.1559,8.5814
6.7235,4.7211
5.3795,10.0264
6.8141,5.7012
6.072,6.405
6.7298,9.1249
4.5437,10.5404
6.6937,7.4501
6.2252,6.1634
6.5548,7.2462
6.6744,5.2754
5.341,5.98
8.0792,9.0662
5.8089,7.2959
4.4107,8.0304
5.8041,6.194
8.0907,7.8581
6.6554,14.5349
7.9319,4.8381
6.4604,15.7928
3.5799,5.715
6.1396,6.0454
9.7513,8.6087
7.1836,6.8255
6.5326,4.6423
7.3833,6.6214
7.2184,3.577
6.2704,7.2407
6.3596,8.858
6.279,11.6142
4.9355,6.5653
6.9835,7.8051
7.38,6.8468
6.3062,14.635
5.9437,3.4663
5.6575,7.0432
7.3615,7.8538
8.7071,9.0059
5.3926,7.7834
6.112,6.4807
12.6528,7.9892
6.6598,8.6611
8.7531,7.2524
9.4616,7.5369
5.149,5.9342
5.8082,5.6366
3.4061,8.4176
9.4536,6.4718
6.0217,6.9844
6.3805,5.6622
8.8427,6.4284
7.2522,11.821
9.2095,7.0783
6.3113,6.0219
5.4849,7.2534
7.3654,7.4822
5.9603,8.7707
5.5751,8.7277
7.1259,6.2802
5.7645,6.989
5.8796,7.8574
5.9997,5.6883
5.8791,6.1552
5.5196,5.0714
5.3065,7.2366
7.6457,5.7003
5.5411,6.0803
5.9331,4.2141
5.5095,4.5586
6.3933,7.9267
6.6053,6.6282
5.35,10.2948
8.9214,8.9478
9.867,9.2059
6.8139,6.3061
9.0262,7.4769
5.4324,5.2661
8.1845,7.4105
6.1815,8.7289
6.5212,9.3457
9.0099,7.5984
9.8165,9.2715
7.4931,6.6368
7.7819,7.3928
7.7189,8.1144
7.246,8.0676
5.2988,7.2679
7.1799,4.7601
6.5907,4.1475
6.0001,9.1689
7.3328,8.4999
8.6277,4.5738
7.5739,7.1941
6.139,7.7403
10.3715,5.32
8.1547,10.3129
6.5377,8.0264
9.1315,6.5738
8.5496,2.7445
7.5198,4.2177
5.229,5.8818
7.6781,6.6023
7.2215,7.2092
5.2453,5.1407
8.8112,7.1952
9.0065,5.6935
6.1436,6.1921
12.6882,7.588
6.7236,5.1344
7.8015,7.1935
6.776,4.2445
7.9087,7.1268
4.4184,5.4836
19.4127,5.2675
7.2724,5.2397
5.877,9.228
11.5157,7.3072
5.6368,5.5765
4.4021,10.4041
11.1963,3.8796
7.8003,6.2931
5.2851,9.7591
9.5391,10.4349
11.1218,9.8528
5.2802,6.9753
11.2862,4.5435
11.9254,5.9491
9.1935,5.3528
7.0834,4.9291
5.9967,7.1191
10.8254,7.0074
9.6413,6.0666
7.5927,6.0387
7.9046,8.6765
7.2793,3.7513
8.7323,4.0045
5.6818,6.9643
5.5951,4.8294
9.0553,6.6873
7.8435,6.1696
5.5903,7.6722
5.2769,6.975
11.5009,4.6842
5.1701,6.2512
8.6976,5.307
9.1712,6.8771
6.8259,4.3406
12.2521,5.079
5.2685,4.707
6.6538,6.8313
12.1012,5.7216
6.8368,7.7326
4.6829,5.7355
7.2476,6.5154
5.8197,8.0479
8.7924,7.2275
7.0082,6.8386
7.2417,6.8733
10.9921,6.3047
6.6637,7.9264
5.5254,6.3808
10.3409,4.4749
5.2688,7.8108
9.9463,4.99
4.6701,7.1193
6.0192,8.659
5.7982,6.9511
6.9873,6.0632
7.3695,9.1068
5.8632,6.0921
10.3435,6.2344
15.1242,9.4117
7.191,5.9082
5.2763,7.3152
7.7934,5.1872
5.1296,6.6184
5.768,4.3753
7.3569,8.9049
7.7107,7.208
5.7459,7.1205
5.9653,7.0318
8.3456,4.4492
5.7408,5.9915
5.763,6.1545
11.7756,5.3326
5.2952,7.4997
9.9557,8.6755
5.9856,5.1549
4.6352,7.2191
7.6331,6.3193
6.4899,6.8569
6.4617,6.0195
6.6221,5.8015
11.3624,7.2847
7.1643,4.6121
9.4363,6.3378
9.8769,7.4099
11.7175,6.0318
10.7537,5.6471
6.5652,7.3341
8.7753,9.7383
6.3971,7.4474
4.7576,7.8767
6.1562,8.7692
3.7957,7.8423
6.0047,6.2982
6.5439,4.6456
7.6724,3.6745
7.3075,6.3433
7.1648,8.0211
11.0342,6.622
7.6679,4.4137
8.244,6.8796
4.2772,7.504
6.7765,9.4147
8.478,7.8865
5.4447,9.2965
5.4719,7.3946
6.286,4.5274
10.3838,10.1453
4.647,5.2968
4.8395,5.7953
5.6878,5.1634
7.8635,6.0399
3.9533,6.3496
6.9457,5.3977
5.7539,6.7667
4.558,4.5542
10.1228,7.8309
4.4846,5.4946
9.4508,7.5785
6.3595,5.7768
7.0734,7.064
7.9717,17.0079
5.104,9.7545
6.9252,4.3891
11.1218,5.8654
10.6376,6.6194
8.4014,7.9669
5.9192,8.295
8.0879,3.8155
9.9715,6.04
10.1375,6.5467
16.7458,6.6846
